id,transaction_date,value_date,reference,debit,credit,balance,remarks,predicted_category,created_at,updated_at
1,2024-11-01,2024-11-01,Rent payment,161501.10,,342752.90,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
2,2024-11-03,2024-11-03,Internet subscription,13209.58,,329543.32,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
3,2024-11-05,2024-11-05,Utility bills,34919.28,,294624.04,Electricity/Water/Generator,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
4,2024-11-18,2024-11-18,POS PURCHASE - Inventory,234349.77,,60274.27,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
5,2024-11-18,2024-11-18,Customer payment,,466197.60,526471.87,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
6,2024-11-18,2024-11-18,Misc credit,,29214.75,555686.62,Misc small inflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
7,2024-11-19,2024-11-19,Customer payment,,518046.57,1073733.19,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
8,2024-11-22,2024-11-22,Customer payment,,190583.78,1264316.97,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
9,2024-11-22,2024-11-22,Customer payment,,135343.76,1399660.73,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
10,2024-11-24,2024-11-24,Repair / Maintenance,17399.28,,1382261.45,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
11,2024-11-25,2024-11-25,POS PURCHASE - Inventory,153280.76,,1228980.69,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
12,2024-11-28,2024-11-28,Salary payment,164412.50,,1064568.19,Monthly payroll,Salary,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
13,2024-11-29,2024-11-29,Capital injection,,813135.98,1877704.17,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
14,2024-11-29,2024-11-29,Fuel purchase,51374.00,,1826330.17,Fuel for operations,Fuel,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
15,2024-11-29,2024-11-29,Misc debit,43033.81,,1783296.36,Misc small outflow,Miscellaneous,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
16,2024-12-01,2024-12-01,Rent payment,168630.00,,1614666.36,Monthly rent,Rent,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
17,2024-12-01,2024-12-01,POS PURCHASE - Inventory,140108.43,,1474557.93,Stock / Inventory purchase,Inventory,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
18,2024-12-01,2024-12-01,Bank fees / transfer,4820.85,,1469737.08,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
19,2024-12-02,2024-12-02,Bank fees / transfer,712.70,,1469024.38,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
20,2024-12-02,2024-12-02,Capital injection,,1933224.95,3402249.33,Loan or investor capital,Loan/Investment,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
21,2024-12-02,2024-12-02,Repair / Maintenance,47714.49,,3354534.84,Equipment or vehicle maintenance,Maintenance,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
22,2024-12-03,2024-12-03,Internet subscription,18084.00,,3336450.84,ISP/Internet,Utilities,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
23,2024-12-03,2024-12-03,Customer payment,,260143.28,3596594.12,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
24,2024-12-03,2024-12-03,Customer payment,,518128.14,4114722.26,Sale / Customer payment,Sales,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
25,2024-12-03,2024-12-03,Bank fees / transfer,15715.53,,4099006.73,"Bank fees, POS charges",Fees and charges,2025-11-18 12:07:41.455946+00,2025-11-18 12:07:41.455946+00
